"Frase","Encuestado","Posición_énfasis","Nivel_énfasis","Respuesta_posición","Respuesta_naturalidad"
"No, los abuelos de Andrea bailaban merengue los domingos.","68603186","1","2","6","4"
"No, los abuelos de Andrea bailaban merengue los domingos.","68656655","1","2","3","5"
"No, los abuelos de Andrea bailaban merengue los domingos.","68689435","1","2","6","3"
"No, los abuelos de Andrea bailaban merengue los domingos.","68698014","1","2","6","5"
"No, los abuelos de Andrea bailaban merengue los domingos.","68708433","1","2","6","4"
"No, los abuelos de Andrea bailaban merengue los domingos.","68752286","1","2","6","4"
"No, los abuelos de Andrea bailaban merengue los domingos.","68808256","1","2","6","4"
"No, los abuelos de Andrea bailaban merengue los domingos.","68959382","1","2","6","5"
"No, los abuelos de Andrea bailaban merengue los domingos.","69009279","1","2","6","4"
"No, los abuelos de Andrea bailaban merengue los domingos.","69152754","1","2","6","5"
"No, los abuelos de Andrea bailaban merengue los domingos.","69208964","1","2","6","3"
"No, los abuelos de Andrea bailaban merengue los domingos.","69228681","1","2","6","4"
"No, los abuelos de Andrea bailaban merengue los domingos.","69248872","1","2","6","5"
"No, los abuelos de Andrea bailaban merengue los domingos.","69299687","1","2","3","5"
"No, los abuelos de Andrea bailaban merengue los domingos.","69359739","1","2","1","4"
"No, los abuelos de Andrea bailaban merengue los domingos.","69364959","1","2","3","5"
"No, los abuelos de Andrea bailaban merengue los domingos.","69464191","1","2","6","5"
"No, los abuelos de Andrea bailaban merengue los domingos.","69511924","1","2","6","5"
"No, los abuelos de Andrea bailaban merengue los domingos.","69519414","1","2","6","5"
"No, los abuelos de Andrea bailaban merengue los domingos.","69529457","1","2","1","4"
"No, los abuelos de Andrea bailaban merengue los domingos.","69532101","1","2","6","5"
"No, los abuelos de Andrea bailaban merengue los domingos.","69556021","1","2","6","2"
"No, los abuelos de Andrea bailaban merengue los domingos.","69603885","1","2","6","5"
"No, los abuelos de Andrea bailaban merengue los domingos.","69606664","1","2","1","2"
"No, los abuelos de Andrea bailaban merengue los domingos.","69740092","1","2","3","3"
"No, los abuelos de Andrea bailaban merengue los domingos.","69758832","1","2","6","4"
"No, los abuelos de Andrea bailaban merengue los domingos.","70427766","1","2","6","3"
"No, los abuelos de Andrea bailaban merengue los domingos.","70469180","1","2","6","5"
"No, los abuelos de Andrea bailaban merengue los domingos.","70735311","1","2","6","3"
"No, los abuelos de Andrea bailaban merengue los domingos.","71124168","1","2","3","3"
"No, los abuelos de Andrea bailaban merengue los domingos.","71362424","1","2","6","3"
"No, los abuelos de Andrea bailaban merengue los domingos.","71616401","1","2","6","4"
"No, los abuelos de Andrea bailaban merengue los domingos.","71621517","1","2","6","4"
"No, los abuelos de Andrea bailaban merengue los domingos.","68603186","1","3","1","4"
"No, los abuelos de Andrea bailaban merengue los domingos.","68656655","1","3","3","5"
"No, los abuelos de Andrea bailaban merengue los domingos.","68689435","1","3","6","4"
"No, los abuelos de Andrea bailaban merengue los domingos.","68698014","1","3","2","3"
"No, los abuelos de Andrea bailaban merengue los domingos.","68708433","1","3","1","4"
"No, los abuelos de Andrea bailaban merengue los domingos.","68752286","1","3","1","4"
"No, los abuelos de Andrea bailaban merengue los domingos.","68808256","1","3","6","4"
"No, los abuelos de Andrea bailaban merengue los domingos.","68959382","1","3","1","4"
"No, los abuelos de Andrea bailaban merengue los domingos.","69009279","1","3","1","4"
"No, los abuelos de Andrea bailaban merengue los domingos.","69152754","1","3","6","5"
"No, los abuelos de Andrea bailaban merengue los domingos.","69208964","1","3","2","4"
