"Frase","Encuestado","Nivel_énfasis","Respuesta_Posición","Respuesta_Posición_Acierto","Respuesta_naturalidad","Posicion_enunciado","Número_sílabas"
"F14","98929451","3C","miel","1","3","3","1"
"F13","96372450","4C","Ninguna de las anteriores","0","4","3","1"
"F01","96372450","3","ven","1","4","1","1"
"F01","96419652","3","ven","1","5","1","1"
"F01","96520359","3","ven","1","4","1","1"
"F01","96527672","3","ven","1","5","1","1"
"F01","96540700","3","ven","1","4","1","1"
"F01","96603178","3","ven","1","5","1","1"
"F01","96606089","3","ven","1","4","1","1"
"F01","96615914","3","ven","1","4","1","1"
"F01","96620145","3","ven","1","4","1","1"
"F01","96621195","3","ven","1","5","1","1"
"F01","96632274","3","ven","1","4","1","1"
"F01","96634147","3","ven","1","3","1","1"
"F01","96636044","3","ven","1","4","1","1"
"F01","96656784","3","ven","1","4","1","1"
"F01","96657675","3","ven","1","5","1","1"
"F01","96660080","3","ven","1","4","1","1"
"F01","96690215","3","ven","1","4","1","1"
"F01","96714607","3","ven","1","3","1","1"
"F01","96734578","3","ven","1","5","1","1"
"F01","96738448","3","ven","1","4","1","1"
"F01","96739237","3","ven","1","4","1","1"
"F01","96767581","3","ven","1","4","1","1"
"F01","96772982","3","ven","1","4","1","1"
"F01","96844645","3","ven","1","4","1","1"
"F01","96854052","3","ven","1","4","1","1"
"F01","96855312","3","ven","1","5","1","1"
"F01","96870111","3","ven","1","4","1","1"
"F01","96877986","3","ven","1","5","1","1"
"F01","96945124","3","ven","1","3","1","1"
"F01","96950656","3","ven","1","3","1","1"
"F01","96987671","3","ven","1","4","1","1"
"F01","97016368","3","ven","1","2","1","1"
"F01","97085639","3","ven","1","4","1","1"
"F01","97295827","3","ven","1","5","1","1"
"F01","97313901","3","ven","1","5","1","1"
"F01","97409849","3","ven","1","4","1","1"
"F01","97446121","3","ahora","0","3","1","1"
"F01","97591839","3","ven","1","2","1","1"
"F01","97687890","3","ven","1","4","1","1"
"F01","97688849","3","ven","1","5","1","1"
"F01","97725741","3","ven","1","4","1","1"
"F01","97741500","3","ven","1","4","1","1"
"F01","97762542","3","ven","1","4","1","1"
"F01","97836262","3","ven","1","5","1","1"
"F01","97847023","3","ven","1","5","1","1"
"F01","97913702","3","ven","1","5","1","1"
"F01","98928867","3","ven","1","4","1","1"
"F01","98929451","3","ven","1","4","1","1"
"F02","96372450","3","sal","1","3","1","1"
"F02","96419652","3","sal","1","5","1","1"
"F02","96520359","3","sal","1","4","1","1"
"F02","96527672","3","sal","1","2","1","1"
"F02","96540700","3","sal","1","4","1","1"
"F02","96603178","3","sal","1","4","1","1"
"F02","96606089","3","sal","1","4","1","1"
"F02","96615914","3","sal","1","3","1","1"
"F02","96620145","3","sal","1","3","1","1"
"F02","96621195","3","sal","1","3","1","1"
"F02","96632274","3","sal","1","3","1","1"
"F02","96634147","3","sal","1","3","1","1"
"F02","96636044","3","sal","1","3","1","1"
"F02","96656784","3","sal","1","3","1","1"
"F02","96657675","3","sal","1","3","1","1"
"F02","96660080","3","sal","1","4","1","1"
"F02","96690215","3","sal","1","2","1","1"
"F02","96714607","3","sal","1","3","1","1"
"F02","96734578","3","sal","1","3","1","1"
"F02","96738448","3","sal","1","3","1","1"
"F02","96739237","3","sal","1","3","1","1"
